author_id,degree,pagerank,betweenness,closeness
171,48,5.452735928751679e-05,5.7565482330469925e-05,0.06441376506752122
172,39,4.7414178446369935e-05,1.7820225504878526e-05,0.06192212003954712
173,36,5.0834443484139665e-05,1.2238184216152922e-05,0.06159873840734285
174,25,3.4294463586895686e-05,5.7165235727680825e-06,0.060444848499676
175,36,5.305227212035437e-05,2.6659633583433602e-05,0.062272230838472255
176,44,6.818705587982718e-05,7.028161504826697e-05,0.06217242848831443
177,50,7.509408101931925e-05,0.00010515572451569622,0.06336972309991443
178,45,6.659796276266507e-05,2.0994540624833897e-05,0.06360175782762752
179,62,8.627228116362239e-05,6.840772725382905e-05,0.06616926112860634
180,47,7.753147007285534e-05,8.436678410533135e-05,0.06364929710662653
181,37,5.9609880332479336e-05,9.932731551369837e-05,0.06055282691369429
182,44,6.827008668561335e-05,2.4219152789525623e-05,0.06512871255973633
183,35,5.5686086048222755e-05,1.3437902317765777e-05,0.06329390138303848
184,31,4.228614998376756e-05,1.0653758667733888e-05,0.06451016969734087
185,41,5.561404145029443e-05,2.379699281051437e-05,0.06600413819929268
186,32,4.3198184775186825e-05,1.2418983153486476e-05,0.065165180846068
187,19,2.8474148641855977e-05,2.0392352183089484e-06,0.06240803114167355
188,97,0.00015064033586555253,0.0008319936337271183,0.07078409890093636
189,37,5.8519359754621214e-05,2.0658666862857335e-05,0.06476385935910117
190,72,0.00010103268797662697,0.00017555619927432742,0.0687816173008232
191,47,6.325693993890852e-05,2.8449256511209773e-05,0.06776698164188248
192,79,0.00012284542898883505,0.0002453645752265672,0.06986622296865815
193,98,0.0001402708595220447,0.0002782804677921925,0.0719777943798661
194,26,3.9293255571845064e-05,7.872201199113344e-06,0.06365509944190828
195,47,6.308844548370039e-05,8.234448442877372e-05,0.06677290519995
196,27,4.09399919790928e-05,4.008528442175414e-06,0.06434491142996288
197,45,5.9756737530031854e-05,2.78365220869126e-05,0.06723582903286894
198,29,3.8582759394684e-05,4.3241104354700725e-06,0.06410978707265623
199,25,3.487063591985095e-05,4.66279929954657e-06,0.062050881423768973
200,34,5.3218377696442154e-05,1.8415698979531843e-05,0.06158895876005125
201,38,7.575069696140154e-05,0.00024101990513583527,0.06197048038108211
